keys,en,de,it,ja,pl,uk,es,bg,fr,pt_BR
PAUSE,Pause,Pause,Pausa,一時停止,Pauza,Пауза,Pausa,Прекъсване,Pause,Pausar
BACK,Back,Zurück,Indietro,戻る,Wróć,Назад,Volver,Назад,Retour,Voltar
QUIT_TO_MENU,Quit to Menu,Beenden und zum Hauptmenü,Torna al menu,終了してメニューに戻る,Wyjdź do Menu,Вийти в меню,Salir al Menú,Главно меню,Quitter vers le Menu,Sair para o menu
EXIT_GAME,Exit game,Spiel beenden,Esci dal gioco,終了してOSに戻る,Wyjdź do Systemu,Вийти з гри,Salir al SO,Изход,Quitter vers le bureau,Sair do jogo
RESTART_SCENARIO,Restart scenario,Szenario neustarten,Riavvia scenario,,,,Reiniciar escenario,Рестартиране на направлението,Redémarrer le scénario,Reiniciar cenário
BACK_TO_TRACK_EDITOR,Back to the track editor,Zurück zum Streckeneditor,,,,,,,Retour à l’éditeur de parcours,Voltar ao editor de vias
BACK_TO_SCENARIO_EDITOR,Back to the scenario editor,Zurück zum Szenarioeditor,,,,,,,Retour à l’éditeur de scénario,Voltar ao editor de cenários
OK,OK,Okay,OK,了解,OK,Добре,OK,ОК,OK,OK
STARTING_SIMULATION,Starting Simulation…,Starte Simulation…,Avvio simulazione…,,,,Comenzando Simulación,Стартиране на симулацията…,Démarrer la simulation,Iniciando Simulação…
,,,,,,,,,,
DISTANCE,Distance,Distanz,Distanza,距離,Dystans,Відстань,Distancia,Разстояние,Distance,Distância
TYPE,Type,Typ,Tipo,タイプ,Typ,Тип,Tipo,Вид,Type,Tipo
INFORMATION,Information,Information,Informazioni,情報,Informacja,Інформація,Información,Информация,Information,Informações
,,,,,,,,,,
AUTOMATIC_DRIVING,Automatic Driving,Automatische Führung,Guida automatica,自動運転,Autopilot,Автоматичне керування,Conducción Automática,Автоматично управление,Pilote automatique,Condução Automática
SIFA,SiFa,SiFa,VACMA,SiFa,SiFa,SiFa,Dispositivo HM,SiFa,Veille automatique (Bouton « homme mort »),SiFa
ENFORCED_BREAKING,Enforced Breaking,Zwangsbremsung,Arresto forzato,強制ブレーキ,Wymuszone Hamowanie,Аварійне гальмування,Interrupción forzada,Аварийна спирачка,Frein d’urgence,Frenagem Forçada
