keys,en,de,it,ja,pl,uk,es,bg,fr,pt_BR
MENU_PLAY,Play,Spielen,Gioca,プレイ,Graj,Грати,Jugar,Начало,Jouer,Jogar
MENU_BACK,Back,Zurück,Indietro,戻る,Wroć,Назад,Atrás,Назад,Retour,Voltar
MENU_CONTENT,Content,Inhalt,Contenuti,コンテンツ,zawartość,Вміст,Contenido,Модули,Contenu,Conteúdo
MENU_CREATE,Create,Erstellen,Crea,作成,Utworz,Створити,Crear,Създаване,Créer,Criar
MENU_SETTINGS,Settings,Einstellungen,Impostazioni,設定,Ustawienia,Налаштування,Configuración,Настройки,Paramètres,Opções
MENU_ABOUT,About Libre TrainSim,Über Libre TrainSim,Informazioni su Libre TrainSim,,,,Acerca de,Относно,À propos de Libre TrainSim,Sobre Libre TrainSim
MENU_QUIT,Quit,Beenden,Esci,終了,Wyjdź,Вийти,Salir,Изход,Quitter,Sair
MENU_FEEDBACK_WANTED,We want your feedback!,Dein Feedback ist gefragt!,Dicci la tua opinione!,あなたのフェードバックが必要です,,Ваш відгук важливий!,¡Se busca tu opinión!,Обратна връзка,Nous voulons votre Avis !,Deixe o seu feedback!
MENU_RELOAD,Reload,Aktualisieren,Ricarica,リロード,Odśwież,Перезавантажити,Recargar,Презареждане,Recharger,Recarregar
,,,,,,,,,,
MENU_TRACKS:,Tracks:,Strecken:,Tracciati:,路線:,Tory,Траси:,Vías:,Линии:,Parcours :,Vias:
MENU_SCENARIOS:,Scenarios:,Szenarien:,Scenari:,シナリオ:,Scenariusze,Сценарії:,Escenarios,Направления:,Scénarios :,Cenários:
MENU_TRAIN:,Train:,Zug:,Treno:,列車:,Pociąg,Поїзди:,Tren:,Влакове:,Train :,Trem:
,,,,,,,,,,
ABOUT_DEVELOPERS,Developers,Programmierer,Sviluppatori,,,,Desarrolladores,Разработчици,Développeur⋅euse⋅s,Desenvolvedores
ABOUT_CONTRIBUTORS,Contributors,Unterstützer,Collaboratori,,,,Contribuidores,Сътрудници,Contributeur⋅trice⋅s,Contribuidores
ABOUT_TRANSLATORS,Translators,Übersetzer,Traduttori,,,,Traductores,Преводачи,Traducteur⋅trice⋅s,Tradutores
ABOUT_BIGTHANKYOU,Big thank you,Einen großen Dank an,Un grande ringraziamento a,,,,Muchas gracias a ti,Благодарим ви,Gros Merci,Muito obrigado
MENU_TO_ADD_CONTENT,To add content you have to place .pck files at,"Um Inhalte hinzuzufügen, müssen Sie .pck Dateien hier platzieren:","Per aggiungere contenuti, copia il file .pck nella cartella",コンテンツを追加する場合は次の場所に.pckファイルを置いてください  ,Aby dodać zawartość musisz  umieścić pliki .Pck w,"Щоб додати вміст, вам потрібно вставити .pck файл сюди:",Para añadir contenido tienes que poner los ficheros .pck en,"За добавяне на модул, трябва да поставите файла с разширение .pck в:","Pour ajouter du contenu, vous devez placer les fichier .pck dans","Para adicionar conteúdo, você deve colocar os arquivos .pck em"
MENU_CURRENT_LOADED_PACKS,Currently loaded Content Packs:,Momentan geladene Pakete,Pacchetti contenuti caricati:,現在ロードされているコンテンツパック:,Załadowane paczki zawartości,Зараз завантажені такі файли:,Paquetes de contenido cargados actualmente:,Текущи модули:,Packs de contenu (Content Pack) actuellement chargés :,Pacotes de Conteúdo carregados:
