keys,en,de,it,ja,pl,uk,fr,es,pt_BR
TUTORIAL_HV_FORM_0,Hello! In this tutorial you will learn how the H/V signalling system works. This tutorial explains the form signals (semaphores). Drive to the first signal.,"Hallo! Heute lernen Sie, wie das H/V Signalsystem funktioniert. Wir schauen uns hier die Formsignale an. Fahren Sie an das erste Signal.",,,,,Bonjour ! Dans ce tutoriel vous allez apprendre comment le système de signaux H/V fonctionne. Ce tutoriel explique la forme des signaux (sémaphores). Circulez jusqu’au premier signal.,¡Hola! En este tutorial aprenderá cómo funciona el sistema de señalización H/V. Este tutorial explica las señales formales (señales luminosas). Circule hasta la siguiente señal.,"Olá! Neste tutorial, você aprenderá como funciona o sistema de sinalização H/V. Este tutorial explica os tipos de sinais (semáforos). Conduza até o primeiro sinal."
TUTORIAL_HV_FORM_1,At a signal you have to pay attention to multiple things. H/V signals are read top to bottom. The diagonal signal wing (at night a green light) shows you that you can safely drive past this signal. The white-red-white board below the signal shows you that this is a main signal.,"An einem Signal gibt es immer mehrere Dinge zu beachten. H/V Signale werden von oben nach unten gelesen. Der schräge Flügel (und bei Nacht das grüne Licht) zeigt Ihnen an, dass Sie an diesem Signal sicher vorbei fahren können. Achten Sie außerdem auf das Weiß-Rot-Weiße Schild unter dem Signal, dieses Schild zeigt an, dass es sich um ein Hauptsignal handelt.",,,,,A un signal vous devez prêter attention à plusieurs choses. Les signaux H/V se lisent de haut en bas. Le bras en diagonale du signal (la nuit un feu vert) indique que vous pouvez franchir en sécurité ce signal. Le panneau blanc-rouge-blanc sous le signal montre que c’est un signal principal.,En una señal tiene que poner atención a varias cosas. Las señales H/V se leen de arriba abajo. El ala diagonal de la señal (por la noche una luz verde) muestra que puede circular más allá de la señal. El mástil blanco-rojo-blanco bajo la señal muestra que esta es una señal principal.,"No sinal, você deve prestar atenção a várias coisas. Os sinais H/V são lidos de cima para baixo. A asa diagonal do sinal (à noite, uma luz verde) indica que pode passar com segurança por este sinal. A placa branca-vermelha-branca logo abaixo indica que este é um sinal principal."
TUTORIAL_HV_FORM_2,"This signal looks different, but works similar. If it warns you, you will see a yellow disk. Since we don't see it, you can safely pass this signal. (At night, you see 2 green lights). The board below the signal tells you this is a presignal. Presignals give you information about the NEXT main signal.","Dieses Signal sieht anders aus, funktioniert aber ähnlich. In Warnstellung ist hier eine gelbe Scheibe zu sehen, da diese hier hochgeklappt und nicht zu sehen ist, können Sie am NÄCHSTEN Hauptsignal freie Fahrt erwarten. Bei Nacht sehen Sie die 2 grünen Lichter. Das Schild unter dem Signal zeigt Ihnen an, dass dies ein Vorsignal ist. Vorsignale zeigen immer den Zustand des NÄCHSTEN Signals an.",,,,,"Ce signal est différent mais fonctionne de façon similaire. S’il vous avertit, vous verrez un disque jaune. Comme on le voit pas, vous pouvez franchir le signal en toute sécurité. (De nuit, vous verrez 2 feux verts). Le panneau inférieur montre que c’est un pré-signal. Les pré-signaux vous donnent des informations sur le signal SUIVANT.","Esta señal tiene aspecto diferente, pero funciona de forma similar. (Por la noche, vería 2 luces verdes). El panel bajo la señal indica que es una señal previa. Las señales previas dan información sobre la SIGUIENTE señal principal.","Este sinal é diferente, mas funciona de modo similar. No caso de um aviso, você verá um disco amarelo. Como não há disco algum, podemos passar com segurança. (À noite, você verá duas luzes verdes). A placa logo abaixo indica que este é um pré-sinal. Pré-sinais dão informações sobre o PRÓXIMO sinal principal."
TUTORIAL_HV_FORM_3,"Watch out! Now you can see the yellow disk, but also the yellow arrow is pointing right. (At night you will see an orange and a green light) This means that you have to go slow (40 km/h unless otherwise noted) at the next main signal.","Achtung! Jetzt ist die gelbe Scheibe zu sehen, aber der gelbe Pfeil zeigt nach rechts, das sagt Ihnen, dass am nächsten Hauptsignal eine Langsamfahrstelle folgt. Bei Nacht sehen Sie ein gelbes und grünes Licht. ""Langsamfahrt"" bedeutet in der Regel 40 km/h, außer anderweitig angegeben. Fahren Sie an das nächste Hauptsignal.",,,,,"Attention ! Maintenant vous pouvez voir le disque jaune, mais aussi la flèche jaune qui pointe à droite. (De nuit vous verrez un feu orange et vert). Cela signifie que vous devrez ralentir (40 km/h sauf indications contraires) au prochain signal.","¡Cuidado! Ahora puede ver un disco amarillo, pero también una flecha amarilla que apunta a la derecha. (Por la noche verá una luz naranja y verde) Esto significa que tiene que ir despacio (a 40 km/h a menos que se indique otra cosa) al paso por la siguiente señal.","Atenção! Agora você pode ver um disco amarelo, além de uma seta amarela à direita. (À noite, você verá uma luz laranja e uma verde). Isso significa que você deve reduzir (a 40 km/h, se nada indicado em contrário) no próximo sinal principal."
TUTORIAL_HV_FORM_4,"Now both signal wings are diagonal (at night an orange and a green light). You may pass this signal, but need to drive slowly (40 km/h unless otherwise noted)","Jetzt zeigen beide Flügel schräg nach rechts oben, bei Nacht sind, wie beim Vorsignal, ein gelbes und grünes Licht zu sehen. Sie dürfen weiterfahren, müssen die Geschwindigkeit aber reduzieren. Außer wenn anders angezeigt, ist die Geschwindigkeit hier auf 40 km/h zu begrenzen.",,,,,Maintenant les deux barres du signal sont en diagonales (de nuit un feu orange et vert). Vous pouvez passer le signal mais à vitesse réduite (40 km/h sauf indications contraires),"Ahora ambas alas de la señal son diagonales (por la noche luz naranja y verde). Puede pasar esta señal, pero necesita circular despacio (a 40 km/h a menos que se indique otra cosa).","Agora, ambas as asas estão diagonais (à noite, uma luz laranja e uma verde). Você pode passar o sinal, mas terá de conduzir lentamente (a 40 km/h, salvo indicação em contrário)."
TUTORIAL_HV_FORM_5,"Not only light signals are important, but also boards which are usually placed to the right of the track. This orange triangle warns you about an upcoming speed limit. You need to multiply the number by 10. So a ""3"" means ""30 km/h""","Nicht nur Lichtsignale sind wichtig, sondern auch verschiedene Schilder die, in der Regel, rechts von der Schiene stehen. Dieses orangene Dreieck WARNT Sie vor einer Geschwindigkeitsbeschränkung, es ist also eine Art Vorsignal. Die Zahl auf dem Schild müssen Sie mit 10 multiplizieren. Bei einer ""3"" dürfen Sie also 30 km/h fahren. Fahren Sie weiter, aber bremsen ab.",,,,,"Il n’y a pas que les signaux lumineux qui sont importants, mais également les panneaux habituellement placés à droite de la voie. Ce triangle orange vous avertit d’une limite de vitesse à venir. Vous devez multiplier le nombre par 10. Donc un ""3"" signifie ""30 km/h"".","No solo las señales luminosas son importantes, también los paneles que se colocan normalmente a la derecha de la vía. Este triángulo naranja avisa de que está llegando a un límite de velocidad. Necesita multiplicar el número por 10. Así que “3” significa “30 km/h”","Não só as luzes de sinalização são importantes, como também as placas do lado direito do trilho. Esse triângulo laranja alerta sobre uma mudança de limite de velocidade. Você deve multiplicar o número por 10. Ou seja, um ""3"" significa ""30 km/h""."
TUTORIAL_HV_FORM_6,"This is the speed limit signal. You must not exceed the displayed speed after passing this signal. You need to multiply the number by 10, so a ""3"" means ""30 km/h""","Das ist das zugehörige ""Haupt""-Signal. Es zeigt Ihnen an, dass Sie ab SOFORT diese Geschwindigkeit einzuhalten haben. Wieder gilt, dass die Zahl mit 10 multipliziert werden muss. Das heißt Sie dürfen hier 30 km/h fahren.",,,,,"Ceci est le signal de limite de vitesse. Vous ne devez pas dépasser la vitesse affichée après avoir franchi le signal. Multipliez le nombre par 10, donc un ""3"" signifie ""30 km/h"".","Esta es la señal de límite de velocidad. No debe exceder la velocidad indicada después de pasar esta señal. Debe multiplicar el número por 10, así que un “3” significa “30 km/h","Este é o sinal de limite de velocidade. Você não deve ultrapassar o limite indicado após passar este sinal. Você deve multiplicar o número por 10. Ou seja, um ""3"" significa ""30 km/h""."
TUTORIAL_HV_FORM_7,"Now the yellow disk is up, but the arrow is pointing straight down. (At night you see 2 yellow lights). This means that you need to stop at the next main signal.","Jetzt kommen wir auch schon zum letzten Signalbild des Vorsignals. Ist die gelbe Scheibe zu sehen, aber der Pfeil zeigt gerade nach unten (bei Nacht sind zwei gelbe Lichter zu sehen), dann müssen Sie am nächsten Hauptsignal anhalten. Fahren Sie weiter.",,,,,"Maintenant le disque jaune est soulevé, mais la flèche pointe droit vers le bas. (De nuit 2 feux jaunes). Cela signifie que vous devrez vous arrêter au prochain signal principal.","Ahora el disco amarillo está arriba, pero la flecha está apuntando hacia abajo. (De noche vería 2 luces amarillas). Esto significa que necesita detenerse en la siguiente señal principal.","Note que há um disco amarelo, mas a seta aponta diretamente para baixo. (À noite, 2 luzes amarelas). Isso significa que você deverá parar no próximo sinal principal."
TUTORIAL_HV_FORM_8,The upper signal wing is now pointing straight right (at night you see a red light). This means you need to stop before the signal. You may not pass the signal until it changes to green.,"Am Hauptsignal zeigt der obere Flügel jetzt gerade nach rechts, bei Nacht leuchtet ein rotes Licht. Vor diesem Signal müssen Sie anhalten. Sie dürfen erst dann weiterfahren, wenn das Signal auf Grün wechselt.",,,,,Le bras supérieur du signal est maintenant à l’horizontale et pointe à droite (de nuit un feu rouge). Cela signifie que vous devrez vous arrêter avant le signal. Ne franchissez pas le signal jusqu’à ce qu’il passe au vert.,El ala superior de la señal ahora está puntando hacia arriba (por la noche vería una luz roja). Esto significa que necesita detenerse antes de la señal. No debe rebasar la señal hasta que cambie a verde.,"A asa superior de sinalização está apontando para a direta (à noite, você verá uma luz vermelha). Isso significa que você deverá parar antes do sinal. Você não pode passar o sinal até que ele fique verde."
,,,,,,,,,
