keys,en,de,it,ja,pl,uk,fr,es,pt_BR
TUTORIAL_0_DESCRIPTION,"This is the beginner track, its recommended for every new player.\n\nLet's start the engines!",Dieses Szenario ist für jeden Anfänger geeignet.\n\nLassen wir uns loslegen!,Questo è il tracciato per principianti ed è raccomandato per ogni nuovo giocatore.\n\nAccendiamo i motori!,この路線は初心者向けで、このゲームを始めたばかりの方におすすめです。\n\nさあ列車を動かそう!,to trasa dla początkujących zalecana dla nowych graczy,Це є карта для початківців. Її рекомендують для новачків.\n\nГайда запустимо двигун!,"Il s’agit de la piste débutant, elle est recommandée pour chaque nouveau joueur.\n\nDémarrer les moteurs !","Esta es la vía para principiantes, está recomendada para nuevos jugadores.\n\n¡Arranquemos los motores!","Esta é a via para iniciantes, recomendada para todos os novos jogadores.\n\nVamos ligar os motores!"
TUTORIAL_TRACK_DESCRIPTION,Tutorial Tracks for introducing basic functions.,"Tutorial-Strecke, welche in die Funktionen von Libre TrainSim einführt.",Tracciato con guida passo-passo per introdurti alle principali funzioni.,一部の機能を紹介するためのチュートリアル路線。,Trasy samouczkowe do nauki niektórych funkcji.,Навчальна карта для показу спеціальних можливостей.,Parcours Tutoriel pour découvrir les fonctions de base.,Las Vías del Tutorial para introducir funciones básicas.,Vias de Tutorial para a introdução de funcionalidades básicas.
TUTORIAL_0_0,"Welcome to Libre TrainSim!\nPlease have in mind that this is an early alpha version, in which many features are missing, and some bugs are possible.\nThe mode is now set to Easy.\n\nLet's start the engines!\nPress 'b' to set up the pantograph and wait a bit.","Willkommen bei Libre TrainSim!\nBitte beachten Sie, dass diese Version noch im Alpha-Status ist. Viele Funktionen fehlen noch, und Bugs könnten auch auftreten.\nEs wurde der einfache Modus aktiviert.\n\nLasst uns die Motoren starten!\nDrücken Sie 'b', um den Pantografen aufzubügeln, und warten Sie wenige Sekunden.",Benvenuto su Libre TrainSim!\nTi avvisiamo che questo è una versione in sviluppo. Molte funzionalità potrebbero mancare e problemi potresti riscontrare problemi.\nLa modalità è impostata su facile.\n\nAvviamo i motori!\nPremi ‘b’ per sollevare il pantografo e attendi che che il sistema sia in tensione.,Libre TrainSimへようこそ!\nこのゲームは初期のアルファバージョンであり、多くの機能がまだ実装されておらず、いくつかのバグが発生する可能性があることに注意してください。\n今はイージーモードになっています。\n\n列車を起動しましょう!\n’b’キーを押してパンタグラフが上がるのを待ちます。,"Witamy W Libre TrainSim!\nProsimy pamietać, że jest to wczesna wersja alfa, co oznacza, że nie ma niektórych funkcji, oraz występuje w grze kilka błędów.\nJest Włączony tryb Łatwy.\n\nOdpalmy silniki!\nnaciśnij 'b' aby urochomić pantograf.","Ласкаво просимо до Libre TrainSim!\nМайте на увазі, що це рання версія, де багато функцій відсутні і містять помилки.\nВстановлено спрощений режим.\n\nГайда запустимо двигун!\nНатисніть ‘b’, щоб підняти пантограф і трішки зачекайте.","Bienvenue sur Libre TrainSim!\nVeuillez garder à l’esprit qu’il s’agit d’une version « early alpha », dans laquelle de nombreuses fonctionnalités sont manquantes, et certains bugs sont possibles.\nLe mode est maintenant réglé sur Facile.\n\nDémarrez les moteurs !\nAppuyez sur 'b' pour déployer le pantographe et attendez un peu.","¡Bienvenido a Libre TrainSim!\nPor favor, tenga en cuenta que está es una versión alfa temprana, en la que faltan muchas características y es posible encontrar algunos errores.\nEl modo está configurado en Fácil.\n\n¡Arranquemos los motores!\nPulse ‘b’ para subir el pantógrafo y espere un poco.","Boas-vindas ao Libre TrainSim!\nPor favor, tenha em mente que esta é uma versão alfa inicial, em que muitos recursos estão faltando e alguns bugs são possíveis.\nVocê está agora no modo Fácil.\n\nVamos ligar os motores!\nPressione 'B' para posicionar o pantógrafo e aguarde um pouco."
TUTORIAL_0_1,"Great! To close the doors, press 'o'.\n\nWith 'i' you can open the left doors,\nwith 'p' you can open the right doors.","Großartig! Um die Türen zu schließen, drücken Sie bitte 'o'.\n\nMit 'i' können Sie die linken, und mit 'p' die rechten Türen öffnen.","Perfetto! Ora chiudiamo le porte con ‘o’.\n\nPremendo ‘i’ potrei aprire le porte a sinistra,\nmentre premendo 'p' potrai chiudere le porte a destra.",okです。ドアを閉じるには’o’を押します\n’i’を押すと左側のドアが開き\n’p’を押すと右側のドアが開きます。,"""Świetnie! A teraz zamknij Drzwi, Aby Zamknąć Dzwi naciśnij 'o'.\n\nUżywając 'i' możesz otworzyć lewe drzwi,\nA za pomocą 'p' Prawe.""","Чудово! Щоб закрити двері, натисніть ‘o’.\n\nНатиснувши ‘i’, ви можете відкрити ліві двері, а натиснувши ‘p’ праві.","Génial! Pour fermer les portes, appuyez sur 'o'.\n\nAvec 'i' vous pouvez ouvrir les portes de gauche,\navec 'p' vous pouvez ouvrir les portes de droite.","¡Genial! Para cerrar las puertas, pulse ‘o’.\n\nCon ‘i’ puede abrir las puertas del lado izquierdo,\ncon ‘p’ puede abrir las puertas del lado derecho.","Muito bem! Para fechar as portas, pressione 'O'.\n\nCom 'I', você pode abrir as portas da esquerda,\ncom 'P', você pode abrir as portas da direita."
TUTORIAL_0_2,Now we are able to drive.\nOur departure is at 12:00. Let's wait for the depart message in the bottom left corner.,"Nun sind wir bereit, um abzufahren. Die Abfahrtszeit ist um 12:00 Uhr. Warten Sie auf die Abfahrtsnachricht in der linken unteren Ecke.",Ora siamo pronti per partire.\nLa partenza prevista è alle 12:00. Dobbiamo prima attendere il segnale di partenza che comparirà nell’angolo in basso a sinistra.,これで運転できるようになりました。\n出発は12:00です。 左下の出発メッセージを待ちましょう。,Teraz Możemy odjechać.\nNasz pociąg odjeżdza o 12:00. poczekaj na informacje o odjaździe w lewym dolnym rogu ekranu.,"Тепер ми можемо рушати.\nВідправляємося о 12:00. Зачекайте на повідомлення про відправлення, яке з’явиться в нижньому лівому куті.",Nous sommes maintenant en mesure de conduire.\nNotre départ est à 12 h. Attendons le message de départ dans le coin inférieur gauche.,Ahora podemos conducir.\nNuestra salida es a las 12:00. Esperemos para el mensaje de salida en la esquina inferior izquierda.,Agora podemos conduzir.\nA nossa partida é às 12:00h. Vamos aguardar a mensagem de partida no canto inferior esquerdo.
TUTORIAL_0_3,Let’s start! Use the arrow keys to drive. \n\n\tPress the up arrow key to accelerate / release the brakes.\n\tPress the down arrow key to release acceleration / apply the brakes. \n\nHint: You can see your current command at the right speedometer.,"Abfahrt! Benutzen Sie die Pfeiltasten, um den Zug zu steuern.\n\tDrücken Sie die Pfeiltaste nach oben, um zu beschleunigen/die Bremsen zu lösen.\n\tDrücken Sie die Pfeiltaste nach unten, um die Beschleunigung zurückzunehmen/die Bremsen anzuziehen.\n\nTipp: Sie können Ihren momentanen Befehl am rechten Tacho sehen.",Iniziamo! Usa le frecce per guidare.\n\n\tPremi la freccia su per accelerare/rilasciare i freni.\n\tPremi freccia giù per diminuire l’accelerazione/frenare.\n\nSuggerimento: puoi vedere lo stato sul tacometro a destra.,出発進行!  運転には矢印キーを使います。\n\n\t上矢印を押して力行/ブレーキの解除です\n\t下矢印キーで力行をやめる/ブレーキをかけます。\n\nヒント:タコメーターで現在のコマンドの状況が確認できます。,"""Zacznijmy! Użyj strzałek aby prowadzić pociąg. \n\n\tnaciśnij górną strzałke aby przspieszyć / opuścić hamulec.\n\tNaciśnij dolną strzałke aby przestać przyspieszać / włączyć hamulce. \n\nPodpowiedź: możesz zobaczyć swoje zadenie na prawym tachometrze.""","Поїхали! Використовуй стрілки на клавіатурі, щоб їхати. \n\n\tНатисни стрілку вгору, щоб прискоритись/відпустити гальмо.\n\tНатисни стрілку вниз, щоб відпустити прискорення/гальмувати.\n\nПідказка: Ви можете побачити поточну команду в правому тахометрі.",C’est parti ! Utilisez les touches fléchées pour conduire.\n\n Appuyez sur la touche « flèche haut » pour accélérer / relâcher les freins.\n\tAppuyez sur la touche « flèche bas » pour relâcher l’accélération / appliquer les freins.\n\nAstuce : Vous pouvez voir votre commande actuelle à l’indicateur de vitesse droit.,¡Empecemos!. Use las flechas para conducir. \n\n\tPulse la flecha hacia arriba para acelerar / soltar los frenos.\n\tPulse la flecha hacia abajo para soltar la aceleración / aplicar frenos. \n\nPista: Puede ver la orden actual en el velocímetro de la derecha.,Vamos começar! Use as setas do teclado para conduzir.\n\nPressione a seta para cima para acelerar / soltar os freios.\n\tPressione a seta para baixo para soltar a aceleração / aplicar os freios.\n\nDica: você pode ver seu comando atual no velocímetro da direito.
TUTORIAL_0_4,"Ahead you can see an orange signal. That means that the next signal is going to be red. So make sure to apply the brakes to stop before the red signal.\n\nWith the left arrow key you can easily set acceleration and brakes to zero. Try it, if you have brakes or accleration applied!","Tipp: Vorne sehen Sie ein orangenes Signal. Das heißt, dass das nächste Signal rot sein wird. Also sollten Sie die Bremsen betätigen, um vor dem roten Signal stehen zu bleiben.\n\nMit der linken Pfeiltaste können Sie ganz einfach den Zug-Befehl auf neutral stellen. Probieren sie es mal aus!","Più avanti puoi vedere un segnale arancio. Questo significa che il segnale successivo sarà rosso. Assicurati di frenare in tempo per arrestare il convoglio prima del segnale rosso.\n\nPremendo freccia sinistra potrai impostare sia accelerazione che frenata a zero. Prova adesso, se hai accelerazione o frenata applicati!",前方にオレンジ色を発するの信号があります。これは次の信号が赤になることを意味します。ブレーキをかけて赤信号の前で停車してください。\n\n左矢印キーを押すことで簡単に力行をブレーキをゼロにできます。加速/減速している場合は試してみてください。,"""Masz przed sobą pomarańczowy sygnał. oznacza to, że następny sygnał będzie czerwony, Upewnij się więc, że zdążysz się zatrzymać przed sygnałem.\n\nUżywając Lewej strzałki możesz uruchomić hamulce!""","Попереду ви можете побачити помаранчевий сигнал. Це означає, що наступний сигнал буде червоним. Тож переконайтеся, що ви застосували гальмо, щоб зупинитися перед червоним сигналом.\n\nЗа допомогою лівої стрілки на клавіатурі, ви можете легко встановити прискорення та гальмо на нуль. Спробуйте, якщо у вас застосовано гальмо чи прискорення!""","Vous pouvez voir un signal orange. Cela signifie que le prochain signal sera rouge. Assurez-vous donc d’appliquer les freins pour s’arrêter avant le signal rouge.\n\nAvec la touche « flèche gauche », vous pouvez facilement régler l’accélération et les freins sur zéro. Essayez-la, si vous avez les freins ou l’accélération appliquée!","Delante puede ver una señal naranja. Eso significa que la siguiente señal estará en rojo. Así que asegúrese de aplicar los frenos para frenar antes de la señal roja.\n\nCon la flecha izquierda puede poner la aceleración y frenos a cero. ¡Pruébelo, si tiene frenos o aceleración aplicados!","À frente, você pode ver um sinal laranja. Isso significa que o próximo sinal será vermelho. Portanto, certifique-se de aplicar os freios para parar antes do sinal vermelho.\n\nCom a seta para a esquerda, você pode facilmente ajustar a aceleração e os freios para zero. Experimente fazer isso caso tenha freios ou aceleração aplicados!"
TUTORIAL_0_5,"Great! \nWait... the signal is now green! Now we need to accelerate very fast.\nTo do this, simply press the right arrow key. It instantly sets the train to max power.",Großartig!\nWarten Sie... das Signal ist jetzt grün! Nun sollten wir sehr schnell beschleunigen.\nDrücken sie dafür einfach die rechte Pfeiltaste. Sie setzt den Zug auf maximale Beschleunigung.,"Molto bene... \nAspetta... il segnale ora è verde! Dobbiamo accelerare al massimo.\nPer farlo, premi semplicemente freccia destra. Applicherà immediatamente la massima accelerazione.",すばらしい\n見てください...信号が青になりました!今すぐ加速する必要があります。\n右矢印キーを押すことで、即座に加速を最大にできます。,Świetnie... \nCzekaj... Mamy zielone światło! Teraz musimy przyspieszyć.\naby to zrobić  naciśnij prawą strzałke. Dzięki temu nasz Pociąg osiągnie maksymalną moc.‘,"Чудово...\nЗачекайте... сигнал зараз зелений! Тепер нам потрібно дуже швидко прискоритися.\nЩоб це зробити, просто натисність праву стрілку на клавіатурі. Це негайно поставить тягу на максимум.","Excellent !\nAttendez... le signal est maintenant vert ! Maintenant, nous devons accélérer très rapidement.\nPour ce faire, appuyez simplement sur la touche « flèche droite ». Elle met instantanément le train à la puissance maximale.","¡Genial! \nEspere… ¡la señal ahora está verde! Ahora necesitamos acelerar muy rápido.\nPara hacerlo, simplemente pulse la flecha derecha. Instantáneamente pone el tren a máxima potencia.","Muito bem!\nEspere... o sinal está verde agora! Agora temos que acelerar bem depressa.\nPara fazer isso, basta pressionar a seta para a direita. Isso instantaneamente colocará o trem na potência máxima."
TUTORIAL_0_6,"The signal in front of you is blinking.. what does this mean?\nIf a signal is blinking, then it's announcing a new speed limit, which is lower than your current one.\nNo fear, the blinking signal just announces it, the speed limit will come into effect at the next signal.\n\nIf e.g. the signal displays an 8, then the speed limit is 80 km/h.\nOrange signs/digits are always announcing limits,\nWhite signs/digits will set the speed limit effective.","Das Signal vor Ihnen blinkt. Was hat das zu bedeuten?\nDas heißt, dass das Signal ein Geschwindigkeitslimit ankündigt, welches niedriger als das jetzige ist.\nKeine Panik, ein blinkendes Signal kündigt es nur an, das Limit wird erst bspw. beim Signal danach angewendet.\n\nWenn ein Signal bspw. eine 8 anzeigt, ist das dazugehörige Geschwindigkeitslimit 80km/h.\nOrangene Schilder/Zahlen kündigen das Geschwindigkeitslimit immer an,\nweiße wenden das Geschwindigkeitslimit an.","Il segnale davanti a noi sta lampeggiando... cosa significa?\nSe un segnale lampeggia, questo premette un nuovo limite di velocità, più basso di quello attuale.\nNiente paura, il segnale lampeggiante è solo un avviso, il nuovo limite di velocità sarà effettivo solo con il segnale successivo.\n\nSe, per esempio, il segnale mostra il numero 8, il limite sarà di 80 km/h.\nSegnali/cifre arancioni sono seOrange signs/digits are always announcing limits,\nWhite signs/digits will set the speed limit effective.",目の前の信号が点滅しています。電球切れを起こしているわけではありません。\n信号が点滅している場合は、現在の制限速度よりも遅い制限速度が前方にあります。\n恐れることはありません。点滅している信号はそれを教えているだけなので、新しい制限速度は信号の後ろで有効になります。\n\nたとえば信号が8を表示した場合は、制限速度は80km/hです。\nオレンジ色の標識や数字は制限を通知しており\n白色の標識や数字は制限速度を有効にしています。,"Sygnał przed tobą zaczął mrugać... Co to oznacza?\njeżeli sygnał mruga, to ogłasza wtedy nowy limit prędkości, który jest niższy od aktualnego.\nNie bój się, mrugający sygnał tylko ogłasza, i limit jest obowiązujący dopiero za nim.\n\nIf e.g. the signal displays a 8, then the speed limit is 80 km/h.\npomaraczowy sygnał/Liczby zawsze tylko ogłaszają zamianę limitu prędkości,\nBiałe sygnały/Liczby oznaczają że limit jest obowiązujący.","Сигнал перед вами блимає.. що це означає?\nЯкщо сигнал блимає, то він повідомляє про нове обмеження швидкості, яке нижче від вашого поточного.\nНе бійтеся, блимаючий сигнал просто попереджає про це, обмеження швидкості набуде чинності при наступному сигналі.\n\nЯкщо, наприклад, сигнал відображає 8, тоді обмеження швидкості становить 80 км/год.\nОранжеві знаки/цифри завжди повідомляють про обмеження.\nБілі знаки/цифри встановлюють діюче обмеження швидкості.","Le signal devant vous clignote... qu’est-ce que ça veut dire ?\nSi un signal clignote, alors il annonce une nouvelle limite de vitesse, qui est inférieure à la vôtre.\nAucune crainte, le signal clignotant vient de l’annoncer, la limite de vitesse entrera en vigueur au signal suivant.\n\nSi, par exemple, le signal affiche un 8, alors la limite de vitesse est de 80 km/h.\nLes signes/chiffres Orange annoncent toujours des limites,\nLes signes/chiffres blancs fixeront la limite de vitesse effective.","La señal enfrente suya está parpadeando… ¿Qué significa?|nSi una señal parpadea, está anunciando un nuevo límite de velocidad, que es inferior al actual.\nNo tema, la señal que parpadea solo lo anuncia, el límite de velocidad será efectivo en la siguiente señal.\n\nSi por ejemplo la seña muestra un 8, el límite de velocidad es de 80 km/h.\nLas señales naranja/dígitos siempre anuncian límites de velocidad,\nLas señales blancas/dígitos, harán efectivo el límite de velocidad.","O sinal à frente está piscando... o que significa isso?\nSe um sinal estiver piscando, ele está anunciando um novo limite de velocidade, inferior ao atual.\nNão se preocupe, o sinal piscante é apenas um aviso, o novo limite entrará em vigor no próximo sinal.\n\nSe, por exemplo, o sinal apresentar um 8, o limite de velocidade será de 80 km/h.\nOs sinais/números laranjas sempre anunciam limites,\nenquanto os sinais/números brancos colocam o limite em vigor. "
TUTORIAL_0_7,"In 600 meters there will be the next train station. Every station is announced in the left bottom corner, if it's 1000m away. Certainly you already saw it.\n\nIt is recommended to slow down to about 70 or 60 km/h, and then brake softly if you are shortly before the train station.\nLet's arrive!","In 600m wird die nächste Station sein. Jede Station wird in der linken unteren Ecke angekündigt, wenn sie 1000m oder weniger entfernt ist. Bestimmt haben Sie diese Nachricht schon gesehen. Es ist empfohlen auf 70 oder 60km/h herunterzubremsen und dann am Bahnsteigsanfang seicht abzubremsen.","La stazione successiva si trova a 600 metri da qui. Ogni stazione viene annunciata con un messaggio nell’angolo in basso a sinistra quando mancano 1000m per raggiungerla. Te ne sarai sicuramente accorto.\n\nTi raccomandiamo di rallentare fino a 70 o 60 km/h, quindi applicare il freno poco prima dell’arrivo in stazione.\nPrepariamoci alla fermata!",600メートル先に次の駅があります。次の駅まで1000メートルになると左下にメッセージが表示されます。あなたはすでにメッセージを見たことでしょう。\n\n70~60km/hまで減速し、駅の手前に来たらゆっくりとブレーキをかける方法をおすすめします。\nやってみましょう!,"Za 600 metrów Będziemy na następnej stacji. Każda stacja jest zapowiadana w lewym dolnym rogu ekranu, 1Km wcześniej. Pewnie już ją zobaczyłeś.\n\nRekomenduje abyś zwolnił do 70 lub 60 km/h, a potem gdy jesteś kawałek przed stacją zacząć łagodnie hamować.\nPrzystanek!","Через 600 метрів буде наступна залізнична станція. Кожна станція оголошується в лівому нижньому куті, якщо вона знаходиться на відстані 1000 м. Звичайно, ви це вже бачили.\n\nРекомендується пригальмувати приблизно до 70 або 60 км/год, а потім тихо загальмувати, якщо ви недалеко до станції.\nДавайте прибудемо!","Dans 600 mètres, il y aura la prochaine gare. Chaque station est annoncée dans le coin inférieur gauche, si elle est à 1000m. Vous l’avez probablement déjà vue.\n\nIl est recommandé de ralentir jusqu’à environ 70 ou 60 km/h, puis de freiner doucement si vous êtes un peu avant la gare.\nOn arrive!","En 600 metros estará la siguiente estación. Cada estación está anunciada en la esquina inferior izquierda, si está a 1000 metros de distancia. Seguro que ya lo ha visto.\n\nSe recomienda reducir a 70 o 60 km/h, y luego frenar suavemente si está en las proximidades de la estación.\n¡Lleguemos!","Em 600 metros, você chegará à próxima estação de trem. Cada estação é anunciada no canto inferior esquerdo, caso esteja dentro de 1000m de distância. Imagino que já tenha percebido.\n\nRecomenda-se desacelerar para cerca de 70 ou 60 km/h e, em seguida, frear suavemente pouco antes da estação.\nÉ hora da chegada!"
